characteristic,cluster1,cluster2,p.adj,conover_stat
p_global_1d_total,3,6,0.12471449200668501,-1.6771229458188066
p_global_1d_total,4,6,0.2502227239120161,0.9222608860481156
p_global_1d_total,5,6,0.20636943184767337,1.188858680875486
p_global_1d_total,1,7,0.12187138595559442,-1.630727021850105
p_global_1d_total,2,7,0.2519637698433588,1.013591843500824
p_global_1d_total,3,7,0.032041774443958386,-2.44643740981819
p_global_1d_total,4,7,0.43084104552902464,0.17444924994625025
p_global_1d_total,5,7,0.3402874221547289,0.5493568769028302
p_global_1d_total,6,7,0.30276469660540645,-0.7379843724820628
d_10250017_spei12,1,2,0.41096567249434895,0.32745624105173793
d_10250017_spei12,1,3,0.04953927599849827,-2.2084049191109103
d_10250017_spei12,2,3,0.046270906399749186,-2.392426847117202
